;Unnamed: 0;id;latitud;longitud;autor;barrio;verso;direccion;openai_sentiment;quarter;district;city;twitter-xml_sentiment;twitter-xml_anger;twitter-xml_disgust;twitter-xml_fear;twitter-xml_joy;twitter-xml_sadness;twitter-xml_surprise;twitter-xml_others;twitter-xml_as_positive;twitter-xml_as_neutral;twitter-xml_as_negative
234;234;175;40.4487331;-3.6089363;﻿Charlie HB;﻿CANILLEJAS;Contemplo las huellas imborrables que dejaste en mí;﻿Calle de Alcalá (isletas)- Calle de Cartago;positive;Canillejas;San Blas - Canillejas;Madrid;negative;0.0;0.0;0.0;0.0;0.8388400077819824;0.0;0.0;0.0;0.0;0.8388400077819824
235;235;176;40.4376285;-3.7111634;﻿Beatriz Pizarro Serrano;﻿CHAMBERÍ;Volver a empezar...como si todo.;﻿Calle de Blasco de Garay-Calle de Joaquín María López;positive;Gaztambide;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4913651943206787;0.0;0.4913651943206787;0.0
236;236;177;40.4243484;-3.7091611;﻿Martin Gil;﻿CENTRO;Te quiero como a un músico: a Mi, La, Do.;﻿Calle de San Bernardino-Calle de los Reyes;positive;Universidad;Centro;Madrid;positive;0.0;0.0;0.0;0.5742434859275818;0.0;0.0;0.0;0.5742434859275818;0.0;0.0
237;237;178;40.419607;-3.6996031;﻿Escandar Algeet;﻿GRANVÍA;Ser valiente en un mundo de hombres, es ser mujer;﻿Calle Gran Vía-Calle del Clavel;positive;Cortes;Centro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.582059919834137;0.0;0.582059919834137;0.0
238;238;179;40.4160539;-3.7086261;﻿Peru Saizprez;﻿CENTRO;Me nombras miembro activo del fin del mundo junto contigo.;﻿Plaza Comandante las Morenas - Calle Mayor;positive;Sol;Centro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8363975286483765;0.0;0.8363975286483765;0.0
239;239;180;40.3962138;-3.641363;﻿Ane Atutxa Lekerika;﻿MORATALAZ;A ti, que supiste leer en mí todo lo que nunca llegué a escribir;﻿Calle de Arroyo de Fontarrón- Calle de la Tacona;positive;Fontarrón;Moratalaz;Madrid;positive;0.0;0.0;0.0;0.5604521036148071;0.0;0.0;0.0;0.5604521036148071;0.0;0.0
240;240;181;40.4056337;-3.7531508;﻿Miguel Ríos;﻿LUCERO;Este es el tiempo del cambio, el futuro se puede tocar;﻿c/ Vilasandino con C/ Villamanín. Acera contraria al DIA;positive;Lucero;Latina;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8090711832046509;0.0;0.8090711832046509;0.0
241;241;182;40.395933;-3.7160477;﻿Swan Fyahbwoy;﻿CARABANCHEL;Ardo si rozas mi piel y si te vas me quemo;﻿Calle de la Verdad - Calle Jacinto Verdaguer;positive;Opañel;Carabanchel;Madrid;negative;0.0;0.0;0.0;0.0;0.47873762249946594;0.0;0.0;0.0;0.0;0.47873762249946594
242;242;183;40.3849105;-3.7586398;﻿Guillermo Gardel;﻿LATINA;Abre tus brazos en luz.;﻿C/ Camarena (del lado de los impares DIA) - C/ de Ocaña;positive;Aluche;Latina;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4544857442378998;0.0;0.4544857442378998;0.0
243;243;184;40.3841882;-3.7655399;﻿Antonio Jiménez Paz;﻿FANJUL;Libertad para escribir, libertad para borrar;﻿Av. de las Águilas;positive;Las Águilas;Latina;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6008275151252747;0.0;0.6008275151252747;0.0
244;244;185;40.3701181;-3.7532178;﻿Jesús Vargas;﻿CARABANCHEL;Eres lo que haces;﻿Av. de Carabanchel Alto (Pares) - C/ Gomez de Arteche;positive;Buenavista;Carabanchel;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6205222606658936;0.0;0.6205222606658936;0.0
245;245;186;40.4593725;-3.6604885;﻿Lanza;﻿CIUDAD LINEAL;Quiéreme hasta que el ego se desvanezca;﻿C/de Arturo de Soria (Impares)- C/ Vicente Musas;positive;Colina;Ciudad Lineal;Madrid;negative;0.0;0.0;0.0;0.0;0.4380437433719635;0.0;0.0;0.0;0.0;0.4380437433719635
246;246;187;40.4527662;-3.650524;﻿India Toctli;﻿PIOVERA;Un lago, cerca un lago. Palabras como peces;﻿Calle de Asura 30- Calle del Estrecho de Mesina;positive;San Juan Bautista;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6344781517982483;0.0;0.6344781517982483;0.0
247;247;188;40.4495087;-3.6966607;﻿Bachi;﻿TETUÁN;La cobardía se mide en ojalases..;﻿C/de la Basílica - C/Neville;negative;Cuatro Caminos;Tetuán;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4597019851207733;0.0;0.4597019851207733;0.0
248;248;189;40.4524738;-3.6673705;﻿Defreds;﻿HISPANOAMÉRICA;El mundo que hable, tú, mientras, quiérete;﻿Av. de Alfonso XIII - Av. de Ramón y Cajal;positive;Hispanoamérica;Chamartín;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.629204273223877;0.0;0.629204273223877;0.0
249;249;190;40.4321275;-3.6557516;﻿Robe Iniesta;﻿EL CARMEN;Al camino recto por el más torcido, vengo derecho;﻿Calle de Alcalá-Calle José Villena;positive;Concepción;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5577297806739807;0.0;0.5577297806739807;0.0
250;250;191;40.431907;-3.6920044;﻿Ramoncín;﻿ALMAGRO;Camina alegre entre la gente por calles vivas que te ven pasar;﻿Calle de Almagro-Calle de Jenner;positive;Almagro;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.37040793895721436;0.0;0.37040793895721436;0.0
251;251;192;40.4282493;-3.6935949;﻿Esther Bendahan;﻿ALMAGRO;Caminar sobre fuego incendiando, así es el hombre;﻿Calle de Fernando el Santo Nº9 - Calle de Zurbano;positive;Almagro;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7490613460540771;0.0;0.7490613460540771;0.0
252;252;193;40.4245322;-3.6724926;﻿Claudia del Pozo Monteagudo;﻿SALAMANCA;Acabamos siendo solo sentimientos escondidos en personas;﻿Calle de Goya-Calle Lombia;positive;Goya;Salamanca;Madrid;negative;0.0;0.0;0.0;0.0;0.6047624349594116;0.0;0.0;0.0;0.0;0.6047624349594116
253;253;194;40.4152646;-3.6575608;﻿Paloma Espartero;﻿MORATALAZ;pájaro del asombro, levanta el vuelo;﻿C/ Félix Rodriguez de la Fuente Nº 12;positive;Media Legua;Moratalaz;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6470537781715393;0.0;0.6470537781715393;0.0
254;254;195;40.3850913;-3.7116355;﻿Toño Soria;﻿USERA;Miro a las nubes Pero es que no hay forma;﻿C/ Rafaela Ybarra - C/ Marcelo Usera 146;positive;Moscardó;Usera;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5332379937171936;0.0;0.5332379937171936;0.0
255;255;196;40.404326;-3.6957193;﻿Teyi;﻿ARGANZUELA;Paso a paso todo pasa.;﻿Calle Delicias 1 (Frente a Lámparas Santiago);positive;Palos de la Frontera;Arganzuela;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4855392873287201;0.0;0.4855392873287201;0.0
256;256;197;40.4753583;-3.7451255;﻿A. Vélez;﻿MIRASIERRA;Il faut accepter la derive avant de prendre un nouveau cap;﻿Av. del Cardenal Herrera Oria - atrás C/ Vegafría;positive;Fuentelarreina;Fuencarral-El Pardo;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.9252544045448303;0.0;0.9252544045448303;0.0
257;257;198;40.4825073;-3.6647088;﻿Cristina Mª Menendez Maldonado;﻿HORTALEZA;Una pizca de locura lo cura todo;﻿Av. de Arturo Soria- Calle Laud;positive;Costillares;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5639299750328064;0.0;0.5639299750328064;0.0
258;258;199;40.4651151;-3.6361836;﻿Jokin Epelde Dominguez;﻿HORTALEZA;El asfalto florece bajo tus pasos;﻿Carr. de Canillas (gasolinera Shell) - Av. de Machupichu;positive;Canillas;Hortaleza;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6379633545875549;0.0;0.6379633545875549;0.0
259;259;200;40.4635827;-3.6455861;﻿isabel rivas etxaniz;﻿CANILLAS;Escucha el ruido de la ciudad. Y ahora, piensa que es música.;﻿Carr. de Carrillas - C/ Utrillas;positive;Canillas;Hortaleza;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6635906100273132;0.0;0.6635906100273132;0.0
260;260;201;40.4569583;-3.6181122;﻿pat;﻿SAN BLAS;¡Haz de tu cabeza un mundo mejor!;﻿Av. de los Andes (Corte Inglés) - C/ Anil;positive;Palomas;Hortaleza;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.45147666335105896;0.0;0.45147666335105896;0.0
261;261;202;40.4469379;-3.7079193;﻿Alfredo Domeño;﻿CUATRO CAMINOS;Si alguna vez no fuiste un nudo, jamás pudiste ser un lazo.;﻿Avenida Reina Victoria - Avenida de Pablo Iglesias;positive;Vallehermoso;Chamberí;Madrid;negative;0.0;0.0;0.0;0.0;0.5638439059257507;0.0;0.0;0.0;0.0;0.5638439059257507
262;262;203;40.4420925;-3.7049842;﻿Laura Pugno;﻿VALLEHERMOSO;Sotto i tuoi piedi la terra splende;﻿Avenida Pablo Iglesias - Avenida Islas Filipinas;positive;Vallehermoso;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5505067706108093;0.0;0.5505067706108093;0.0
263;263;204;40.4503823;-3.6650469;﻿DoloresQuebranto;﻿CHAMARTÍN;Sáltame como si fuera tu destino.;﻿Calle Lopez de Hoyos- Calle del Padre Claret;positive;Prosperidad;Chamartín;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4513363242149353;0.0;0.4513363242149353;0.0
264;264;205;40.4433381;-3.6522393;﻿Enrique Bolaños;﻿CIUDAD LINEAL;seguir ardiendo hoy despertar quizás mañana;﻿Av. de Badajoz- Calle de Aristóteles;positive;San Pascual;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4160909056663513;0.0;0.4160909056663513;0.0
265;265;206;40.4460775;-3.6430285;﻿Mª Carmen Montiel Molina;﻿CIUDAD LINEAL;Y aunque cambien de canción bailaremos siempre juntos;﻿Calle del Genral Aranz (colegio)- Calle Natalia de Silva;positive;Salvador;San Blas - Canillejas;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4823921322822571;0.0;0.4823921322822571;0.0
266;266;207;40.442594;-3.6384702;﻿Julia Navarro;﻿SALVADOR;Procura que las sirenas no te engañen;﻿Calle López de Aranda- Calle del General Aranza;positive;Concepción;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5207802653312683;0.0;0.5207802653312683;0.0
267;267;208;40.4295733;-3.6547767;﻿Alicia Louzao;﻿CIUDAD LINEAL;Aproxímate con cuidado debajo de esta piel estoy latiendo;﻿Av. de Daroca-Calle del Apóstol Santiago;positive;Ventas;Ciudad Lineal;Madrid;negative;0.0;0.0;0.0;0.0;0.38491392135620117;0.0;0.0;0.0;0.0;0.38491392135620117
268;268;209;40.427162;-3.658002;﻿Raul Alvarez Valera;﻿CIUDAD LINEAL;Con la suerte en los talones;﻿Calle de Ricardo Ortíz-Calle San Marcelo;positive;Ventas;Ciudad Lineal;Madrid;positive;0.0;0.0;0.0;0.5056489706039429;0.0;0.0;0.0;0.5056489706039429;0.0;0.0
269;269;210;40.4296213;-3.6157331;﻿Alicia Ramos Álvarez;﻿SAN BLAS;Sonreír es mi idioma favorito.;﻿Av. de Hellín- Calle Albergue;positive;Amposta;San Blas - Canillejas;Madrid;positive;0.0;0.0;0.0;0.7831318974494934;0.0;0.0;0.0;0.7831318974494934;0.0;0.0
270;270;211;40.438539;-3.7042835;﻿Carmen Boza;﻿CANAL;- El sermón del predicador es la oración del necio;﻿Calle de Bravo Murillo 47 - Calle de Sea Bermúdez;negative;Trafalgar;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8912146687507629;0.0;0.8912146687507629;0.0
271;271;212;40.440662;-3.66088;﻿Rocío Garrido Lozano;﻿SALAMANCA;Robemos las horas al reloj.;﻿Av. de Brasilia- Av. de Badajoz;positive;Guindalera;Salamanca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8383898138999939;0.0;0.8383898138999939;0.0
272;272;213;40.4134593;-3.7016435;﻿VdeCafe;﻿CENTRO;Mejor lo utópico que lo típico.;﻿Plaza de Jacinto Benavente-Calle Cañizares;positive;;Centro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6464589834213257;0.0;0.6464589834213257;0.0
273;273;214;40.4092426;-3.7103339;﻿Violeta Medina;﻿CENTRO;¿Cuánta luz es necesaria para vivir lo oscuro?;﻿Calle Humilladero- Calle Calatrava;neutral;Palacio;Centro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5825796723365784;0.0;0.5825796723365784;0.0
274;274;215;40.4125925;-3.6765977;﻿Gazituaga;﻿RETIRO;El tiempo todo lo cura Se comprende con los años;﻿Calle Menéndez Pelayo 67;positive;Niño Jesús;Retiro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7188981175422668;0.0;0.7188981175422668;0.0
275;275;216;40.4081616;-3.6526511;﻿Cristina Gonzalez Monterrubio;﻿MORATALAZ;Estamos a un abrazo de distancia.;﻿C/del Arroyo Belincoso Nº5 - Plaza Corregidor Sancho Córdoba;positive;Marroquina;Moratalaz;Madrid;negative;0.0;0.0;0.0;0.0;0.40447571873664856;0.0;0.0;0.0;0.0;0.40447571873664856
276;276;217;40.4080748;-3.7197948;﻿MAISA LAZARO MARTIN;﻿ARGANZUELA;Del sí al no sólo hay un pétalo;﻿Paseo de los Melancólicos (Pares) antes de la intersección con c/de Cobos de Segovia;positive;Imperial;Arganzuela;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8624588847160339;0.0;0.8624588847160339;0.0
277;277;218;40.3984331;-3.6941099;﻿María Díaz Torres;﻿ARGANZUELA;Los niños nos harán libres;﻿Paseo de las Delicias 65;positive;Delicias;Arganzuela;Madrid;positive;0.0;0.0;0.0;0.3937830328941345;0.0;0.0;0.0;0.3937830328941345;0.0;0.0
278;278;219;40.3871241;-3.6405127;﻿ANA LAMONA;﻿PUENTE DE VALLECAS;Paso de cebra. Paso de ti.;﻿Calle de San Claudio- Av. Rafael Alberti;positive;Palomeras Sureste;Puente de Vallecas;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7717400789260864;0.0;0.7717400789260864;0.0
279;279;220;40.3813085;-3.6617183;﻿Diego Doncel;﻿PALOMERAS BAJAS;A veces la democracia medita cómo no ser democracia;﻿Av. Pablo Neruda - Calle Romeo y Julieta;positive;Palomeras Bajas;Puente de Vallecas;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8192856907844543;0.0;0.8192856907844543;0.0
280;280;221;40.3764547;-3.6958346;﻿Irene G Punto;﻿43385;Poesía brota en Madrid. Somos versos con raíz;﻿Glorieta de Málaga EMT 1132;positive;Orcasur;Usera;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6574745774269104;0.0;0.6574745774269104;0.0
281;281;222;40.3793644;-3.7764833;﻿Roberto Martínez;﻿LATINA;No hay nada más castizo que tu mirada;﻿Calle de Oliva de Plasencia (Colegio)- Calle Aldeanueva de la Vera;positive;Las Águilas;Latina;Madrid;positive;0.0;0.0;0.0;0.453213632106781;0.0;0.0;0.0;0.453213632106781;0.0;0.0
282;282;223;40.3741723;-3.7731949;﻿Juan Ceñal;﻿LATINA;Juguemos a desenredarnos las estrellas del pelo..;﻿Calle Danza (Lild)- Av. de la Aviación;positive;Cuatro Vientos;Latina;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6808068752288818;0.0;0.6808068752288818;0.0
283;283;224;40.3672326;-3.7647915;﻿María Vera;﻿LA PESETA;Ingenuidad la tuya por creer que la mía no es fingida;﻿Av. de la Peseta (Pares) - frente a C/ Violonchelos;neutral;Cuatro Vientos;Latina;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6574745774269104;0.0;0.6574745774269104;0.0
284;284;225;40.362575;-3.7574155;﻿Leticia Torcal Hernández;﻿CARABANCHEL;Mi corazón se pone rojo cuando lo desnudas;﻿Av. de la Peseta (Parque) - C/de Salvador Allende;positive;Buenavista;Carabanchel;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4142102599143982;0.0;0.4142102599143982;0.0
285;285;226;40.4846758;-3.6896494;﻿J.Canta;﻿FUENCARRAL-EL PARDO;Si no tardas mucho, te espero, toda la vida;﻿Calle de San Dacio- Calle de San Modesto;positive;Valverde;Fuencarral-El Pardo;Madrid;negative;0.0;0.0;0.0;0.0;0.3682030737400055;0.0;0.0;0.0;0.0;0.3682030737400055
286;286;227;40.4517151;-3.6607661;﻿Rocio Cam;﻿CIUDAD LINEAL;La ignorancia es lo último que se pierde;﻿Calle de Torrelaguna- Entrada M30;positive;San Juan Bautista;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5828090310096741;0.0;0.5828090310096741;0.0
287;287;228;40.4312588;-3.7221417;﻿Ernesto Pérez Zúñiga;﻿ARGÜELLES;Aúlla el perro de tu nombre;﻿Calle Romero Robledo 21 - Calle Ferraz;positive;Argüelles;Moncloa-Aravaca;Madrid;negative;0.7344353795051575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7344353795051575
288;288;229;40.426134;-3.7011588;﻿Benjamín Prado;﻿TRIBUNAL;El que derriba un puente construye un precipicio;﻿Calle de Fuencarral 78-80 - Calle Barceló;positive;Justicia;Centro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8550587892532349;0.0;0.8550587892532349;0.0
289;289;230;40.4125362;-3.7052437;﻿Fernando Calvo;﻿CENTRO;Debajo del asfalto la tierra aúlla;﻿Plaza Tirso de Molina-Calle de la Colegiata;positive;Embajadores;Centro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7784467935562134;0.0;0.7784467935562134;0.0
290;290;231;40.4185492;-3.6789823;﻿Accidents Polipoètics;﻿IBIZA;Si te haces a ti mismo te sobrarán piezas;﻿Calle Menéndez Pelayo, frente al número 29;positive;Jerónimos;Retiro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7197292447090149;0.0;0.7197292447090149;0.0
291;291;232;40.4136799;-3.6277614;﻿Alberto Pérez Ruiz;﻿MORATALAZ;No es amor si amar no basta.;﻿Calle de la Fuente Carrantona- Ctra. Eje Odonnell;positive;Horcajo;Moratalaz;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.37486594915390015;0.0;0.37486594915390015;0.0
292;292;233;40.4033609;-3.5989599;﻿Juan Antonio Bermúdez;﻿VICÁLVARO;Nos da pavor la quemadura y somos llamas;﻿Calle de S. Cipriano- Calle Minerva;positive;Casco Histórico de Vicálvaro;Vicálvaro;Madrid;negative;0.0;0.0;0.0;0.0;0.7775441408157349;0.0;0.0;0.0;0.0;0.7775441408157349
293;293;234;40.3973424;-3.619802;﻿Claudia Viu Balagueró;﻿VICÁLVARO;Acuérdate de vivir.;﻿Bulevar de José Prat- Calle de Cordel de Pavones;positive;Valdebernardo;Vicálvaro;Madrid;negative;0.0;0.0;0.0;0.0;0.48465216159820557;0.0;0.0;0.0;0.0;0.48465216159820557
294;294;235;40.3857676;-3.7058016;﻿Antonino Nieto;﻿USERA;Viva el nacido sin dueños ni futuros que lo ahorquen al pie de un sueño;﻿C/ Nicolás Usera 24;positive;Pradolongo;Usera;Madrid;positive;0.0;0.0;0.0;0.43360888957977295;0.0;0.0;0.0;0.43360888957977295;0.0;0.0
295;295;236;40.3863988;-3.7019983;﻿Negrotesco;﻿USERA;Me temo lo mejor;﻿C/ Marcelo Usera 29;positive;Almendrales;Usera;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.28763124346733093;0.0;0.28763124346733093;0.0
296;296;237;40.4011764;-3.6751856;﻿Rosendo;﻿PACÍFICO;No se si estoy en lo cierto, lo cierto es que estoy aquí;﻿Avenida Ciudad de Barcelona Pares (77);positive;Pacífico;Retiro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.38208308815956116;0.0;0.38208308815956116;0.0
297;297;238;40.3681787;-3.6940375;﻿Esther Bendahan;﻿SANFERMÍN;Detrás de cada huida, está el deseo de partir;﻿Av. de Andalucía (Parque) - Av. de los Rosales;positive;San Fermín;Usera;Madrid;negative;0.0;0.0;0.0;0.0;0.5920183658599854;0.0;0.0;0.0;0.0;0.5920183658599854
298;298;239;40.5074566;-3.6862061;﻿FERNANDO RENJIFO;﻿FUENCARRAL;Háblame del mar. Escucha cómo la rabia se va desvaneciendo.;﻿C/ Monasterio de Arlanza (Torre);positive;Valverde;Fuencarral-El Pardo;Madrid;negative;0.0;0.0;0.0;0.0;0.5931503176689148;0.0;0.0;0.0;0.0;0.5931503176689148
299;299;240;40.5079303;-3.6645654;﻿ivan garcia-alcaide;﻿FUENCARRAL-EL PARDO;Con sol, con lluvia, con viento , contigo;﻿C/ de la Sierra de Atapuerca - Paseo Tierra de Melide;positive;Valverde;Fuencarral-El Pardo;Madrid;positive;0.0;0.0;0.0;0.42706844210624695;0.0;0.0;0.0;0.42706844210624695;0.0;0.0
300;300;241;40.4895738;-3.6554593;﻿Asier Acebo;﻿HORTALEZA;Te estoy amando y no me lo coges.;﻿Av. de Francisco Pi y Margall (frente a edificio Mirador) - Plaza Alcalde Moreno Torres;positive;Valdefuentes;Hortaleza;Madrid;negative;0.0;0.0;0.0;0.0;0.2855266034603119;0.0;0.0;0.0;0.0;0.2855266034603119
301;301;242;40.4884375;-3.7163454;﻿Rafael Lamata Cotanda;﻿MIRASIERRA;Hoy el cielo no es azul, pero sigue siendo cielo.;﻿Av. del Ventisquero de la Condesa (Pares) - C/ Collado de Cerro Malejo;positive;;Fuencarral-El Pardo;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.44367653131484985;0.0;0.44367653131484985;0.0
302;302;243;40.4814851;-3.6939919;﻿Pablo Messiez;﻿LA PAZ;Que mi punto de vista no olvide la ceguera que lo hace posible;﻿Calle Arzobispo Morcillo- Centro Cultural Valle Inclán;positive;La Paz;Fuencarral-El Pardo;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8720205426216125;0.0;0.8720205426216125;0.0
303;303;244;40.4742974;-3.6875922;﻿Nach;﻿SINESIO DELGADO;Cuanto más deseo trago, más soledad vomito;﻿Calle de Sinesio Delgado- Paseo de la Castellana;positive;La Paz;Tetuán;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.44224101305007935;0.0;0.44224101305007935;0.0
304;304;245;40.4753762;-3.6609517;﻿Carmen Mas Choclán;﻿HORTALEZA;Hemos nacido para entendernos;﻿Calle de las Cuevas de Almanzora- Calle de Bacares;positive;Apóstol Santiago;Hortaleza;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.40235841274261475;0.0;0.40235841274261475;0.0
305;305;246;40.4625256;-3.6378425;﻿eslahoradeperderse;﻿HORTALEZA;¿De qué color son tus sueños?;﻿C/ de Silvano (Pares) - C/ de Alcorisa;positive;Piovera;Hortaleza;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5294639468193054;0.0;0.5294639468193054;0.0
306;306;247;40.4554746;-3.6564302;﻿María Palfy Alonso-Alegre;﻿CIUDAD LINEAL;Si no me pierdo no me encuentro;﻿Calle de Arturo Soria 155- Calle José Silva;positive;San Juan Bautista;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.47383740544319153;0.0;0.47383740544319153;0.0
307;307;248;40.4712939;-3.5817173;﻿Gema;﻿BARAJAS;Para llegar a la luna es necesario apuntar a las estrellas;﻿Av. de Logroño- Calle Alanís;positive;;Barajas;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8772709965705872;0.0;0.8772709965705872;0.0
308;308;249;40.4691065;-3.5813123;﻿Elvira Sastre;﻿BARAJAS;Para mí cualquier lugar es mi casa si eres tú quien abre la puerta.;﻿Av. de Logroño 104;positive;;Barajas;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6675096750259399;0.0;0.6675096750259399;0.0
309;309;250;40.4606971;-3.7908009;﻿Aarón García;﻿ARAVACA;Planeo envejecer después de muerto;﻿C/ del Almanzora 2 - Camino del Barrial (del lado de los impares);positive;;Moncloa-Aravaca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6021233201026917;0.0;0.6021233201026917;0.0
310;310;251;40.4552094;-3.7291824;﻿Jorge J. Locane;﻿CIUDAD UNIVERSITARIA;soy ácido desoxirribonucleico;﻿Av. Complutense - CIEMAT;positive;;Moncloa-Aravaca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8586655855178833;0.0;0.8586655855178833;0.0
311;311;252;40.4469052;-3.7107744;﻿Tuga;﻿MONCLOA-ARAVACA;Sigue sus pasos, deja tus huellas;﻿Avenida Reina Victoria 36;positive;;Moncloa-Aravaca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5113515853881836;0.0;0.5113515853881836;0.0
312;312;253;40.4561215;-3.6922297;﻿Chilo Rivero;﻿TETUÁN;Hay que echar más pena al fuego;﻿C/ del poeta Joan Maragall 15;positive;Cuatro Caminos;Tetuán;Madrid;negative;0.0;0.0;0.0;0.0;0.7927972674369812;0.0;0.0;0.0;0.0;0.7927972674369812
313;313;254;40.4519805;-3.691527;﻿Maribel Tena García;﻿AZCA (C);En ocasiones lo más salvaje es la ternura.;﻿Av. General Perón - plaza de Lima;positive;Cuatro Caminos;Tetuán;Madrid;negative;0.0;0.0;0.0;0.0;0.41414785385131836;0.0;0.0;0.0;0.0;0.41414785385131836
314;314;255;40.4525959;-3.6969597;﻿Carlos Salas Ruiz;﻿TETUÁN;Necesitamos los besos, para aprender a medir las distancias;﻿Av. del General Perón (Parque) - Entre C/Aviador de Zorita y C/Neville;positive;Cuatro Caminos;Tetuán;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5154485702514648;0.0;0.5154485702514648;0.0
315;315;256;40.4474716;-3.7040019;﻿Susi Corrales \;﻿TETUÁN;Solo a través de tus propios pasos conocerás el mundo.;﻿Calle Bravo Murillo 101;positive;Bellas Vistas;Tetuán;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7998327016830444;0.0;0.7998327016830444;0.0
316;316;257;40.445016;-3.7040905;﻿Félix Valdivieso;﻿CUATRO CAMINOS;¡¡¡No hay quien dé con su destino!!!;﻿Calle Bravo Murillo 85b;positive;Vallehermoso;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5489495396614075;0.0;0.5489495396614075;0.0
317;317;258;40.4529408;-3.680326;﻿LUIS AGUILAR;﻿HISPANOAMÉRICA;Podremos los dos contra cualquier invierno;﻿Calle Serrano 224-Plaza República del Salvador;positive;Hispanoamérica;Chamartín;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6578062176704407;0.0;0.6578062176704407;0.0
